sample_id,model_name,task_type,description,actions,expected_result
19,process_77.bpmn,legality,legality_large_true,"receiving_an_order_(1), display_options(start,1), display_options(end,1), select_drink(start,1), select_drink(end,1), select_size_of_the_drink(start,1), select_size_of_the_drink(end,1,Medium), prepare_medium_drink(start,1), prepare_medium_drink(end,1), select_supplement(start,1), select_supplement(end,1,Wedges)",True
20,process_77.bpmn,legality,legality_large_false,"receiving_an_order_(1), select_drink(start,1), select_drink(end,1), display_options(start,1), display_options(end,1), select_size_of_the_drink(start,1), select_size_of_the_drink(end,1,Small), prepare_small_drink(start,1), prepare_small_drink(end,1), select_supplement(start,1), select_supplement(end,1,Fries)",False
21,process_77.bpmn,conformance,conformance_small_true,"select_drink(end,1), select_drink(start,1), display_options(end,1), display_options(start,1), acquire(1, main_process), receiving_an_order_(1)",True
22,process_77.bpmn,conformance,conformance_small_false,"display_options(end,1), display_options(start,1), select_drink(end,1), select_drink(start,1), acquire(1, main_process), receiving_an_order_(1)",False
23,process_77.bpmn,conformance,conformance_large_true,"prepare_burger_(end,1), prepare_burger_(start,1), display_options(end,1), display_options(start,1), acquire(1, main_process), receiving_an_order_(1)",True
24,process_77.bpmn,conformance,conformance_large_false,"select_supplement(end,1,Fries), select_supplement(start,1), prepare_medium_drink(end,1), prepare_medium_drink(start,1), select_size_of_the_drink(end,1,Medium), select_size_of_the_drink(start,1), display_options(end,1), display_options(start,1), select_drink(end,1), select_drink(start,1), acquire(1, main_process), receiving_an_order_(1)",False
25,process_28.bpmn,legality,legality_small_true,"wish_for_a_lan_gameparty(1), send_invites_to_10_people(start,1), send_invites_to_10_people(end,1), ask_which_games_do_they_want_to_play(start,1), ask_which_games_do_they_want_to_play(end,1)",True
26,process_28.bpmn,legality,legality_small_false,"wish_for_a_lan_gameparty(1), ask_which_games_do_they_want_to_play(start,1), ask_which_games_do_they_want_to_play(end,1), send_invites_to_10_people(start,1), send_invites_to_10_people(end,1), few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1)",False
27,process_28.bpmn,legality,legality_large_true,"wish_for_a_lan_gameparty(1), send_invites_to_10_people(start,1), send_invites_to_10_people(end,1), ask_which_games_do_they_want_to_play(start,1), ask_which_games_do_they_want_to_play(end,1), few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1), check_if_you_have_all_the_games(start,1), check_if_you_have_all_the_games(end,1), appoint_a_date(start,1), appoint_a_date(end,1)",True
28,process_28.bpmn,legality,legality_large_false,"wish_for_a_lan_gameparty(1), ask_which_games_do_they_want_to_play(start,1), ask_which_games_do_they_want_to_play(end,1), send_invites_to_10_people(start,1), send_invites_to_10_people(end,1), few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1), check_if_you_have_all_the_games(start,1), check_if_you_have_all_the_games(end,1,no), find_where_can_you_download_the_game(start,1), find_where_can_you_download_the_game(end,1), download_the_missing_game(start,1), download_the_missing_game(end,1,yes)",False
29,process_28.bpmn,conformance,conformance_small_true,"ask_which_games_do_they_want_to_play(end,1), ask_which_games_do_they_want_to_play(start,1), send_invites_to_10_people(end,1), send_invites_to_10_people(start,1), acquire(1, main_process), wish_for_a_lan_gameparty(1)",True
30,process_28.bpmn,conformance,conformance_small_false,"few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1), send_invites_to_10_people(end,1), send_invites_to_10_people(start,1), ask_which_games_do_they_want_to_play(end,1), ask_which_games_do_they_want_to_play(start,1), acquire(1, main_process), wish_for_a_lan_gameparty(1)",False
31,process_28.bpmn,conformance,conformance_large_true,"appoint_a_date(end,1), appoint_a_date(start,1), check_if_you_have_all_the_games(end,1), check_if_you_have_all_the_games(start,1), few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1), ask_which_games_do_they_want_to_play(end,1), ask_which_games_do_they_want_to_play(start,1), send_invites_to_10_people(end,1), send_invites_to_10_people(start,1), acquire(1, main_process), wish_for_a_lan_gameparty(1)",True
32,process_28.bpmn,conformance,conformance_large_false,"download_the_missing_game(end,1,yes), download_the_missing_game(start,1), find_where_can_you_download_the_game(end,1), find_where_can_you_download_the_game(start,1), check_if_you_have_all_the_games(end,1,no), check_if_you_have_all_the_games(start,1), few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1), send_invites_to_10_people(end,1), send_invites_to_10_people(start,1), ask_which_games_do_they_want_to_play(end,1), ask_which_games_do_they_want_to_play(start,1), acquire(1, main_process), wish_for_a_lan_gameparty(1)",False
33,process_82.bpmn,legality,legality_small_true,"desire_to_reg_usi_course(1), select_course(start,1), select_course(end,1,yes), show_dates(start,1), show_dates(end,1)",True
34,process_82.bpmn,legality,legality_small_false,"desire_to_reg_usi_course(1), show_dates(start,1), show_dates(end,1)",False
35,process_82.bpmn,legality,legality_large_true,"desire_to_reg_usi_course(1), select_course(start,1), select_course(end,1,yes), show_dates(start,1), show_dates(end,1), select_one_date(start,1), select_one_date(end,1), check_if_account_at_sports_institute_available(start,1), check_if_account_at_sports_institute_available(end,1,no), check_if_registered_at_an_eligible_university(start,1), check_if_registered_at_an_eligible_university(end,1,no)",True
36,process_82.bpmn,legality,legality_large_false,"desire_to_reg_usi_course(1), show_dates(start,1), show_dates(end,1), select_course(start,1), select_course(end,1,yes), select_one_date(start,1), select_one_date(end,1), check_if_account_at_sports_institute_available(start,1), check_if_account_at_sports_institute_available(end,1,no), check_if_registered_at_an_eligible_university(start,1), check_if_registered_at_an_eligible_university(end,1,yes)",False
37,process_82.bpmn,conformance,conformance_small_true,"select_course(end,1,yes), select_course(start,1), acquire(1, main_process), desire_to_reg_usi_course(1)",True
38,process_82.bpmn,conformance,conformance_small_false,"select_course(end,1,yes), select_course(start,1), show_dates(end,1), show_dates(start,1), acquire(1, main_process), desire_to_reg_usi_course(1)",False
39,process_82.bpmn,conformance,conformance_large_true,"check_if_registered_at_an_eligible_university(end,1,yes), check_if_registered_at_an_eligible_university(start,1), check_if_account_at_sports_institute_available(end,1,no), check_if_account_at_sports_institute_available(start,1), select_one_date(end,1), select_one_date(start,1), show_dates(end,1), show_dates(start,1), select_course(end,1,yes), select_course(start,1), acquire(1, main_process), desire_to_reg_usi_course(1)",True
40,process_82.bpmn,conformance,conformance_large_false,"check_if_account_at_sports_institute_available(end,1,yes), check_if_account_at_sports_institute_available(start,1), select_one_date(end,1), select_one_date(start,1), select_course(end,1,yes), select_course(start,1), show_dates(end,1), show_dates(start,1), acquire(1, main_process), desire_to_reg_usi_course(1)",False
41,process_54.bpmn,legality,legality_small_true,"hardware_issue_detected(1), create_account(start,1), create_account(end,1), log_into_account(start,1), log_into_account(end,1,yes)",True
42,process_54.bpmn,legality,legality_small_false,"hardware_issue_detected(1), log_into_account(start,1), log_into_account(end,1,yes)",False
43,process_54.bpmn,legality,legality_large_true,"hardware_issue_detected(1), create_account(start,1), create_account(end,1), log_into_account(start,1), log_into_account(end,1,yes), select_device_model(start,1), select_device_model(end,1), select_type_of_hardware_issue(start,1), select_type_of_hardware_issue(end,1), offer_ordering_choices(start,1), offer_ordering_choices(end,1)",True
44,process_54.bpmn,legality,legality_large_false,"hardware_issue_detected(1), log_into_account(start,1), log_into_account(end,1,yes), create_account(start,1), create_account(end,1), select_device_model(start,1), select_device_model(end,1), select_type_of_hardware_issue(start,1), select_type_of_hardware_issue(end,1), offer_ordering_choices(start,1), offer_ordering_choices(end,1)",False
45,process_54.bpmn,conformance,conformance_small_true,"log_into_account(end,1,yes), log_into_account(start,1), create_account(end,1), create_account(start,1), acquire(1, main_process), hardware_issue_detected(1)",True
46,process_54.bpmn,conformance,conformance_small_false,"create_account(end,1), create_account(start,1), log_into_account(end,1,yes), log_into_account(start,1), acquire(1, main_process), hardware_issue_detected(1)",False
47,process_54.bpmn,conformance,conformance_large_true,"offer_ordering_choices(end,1), offer_ordering_choices(start,1), select_type_of_hardware_issue(end,1), select_type_of_hardware_issue(start,1), select_device_model(end,1), select_device_model(start,1), log_into_account(end,1,yes), log_into_account(start,1), create_account(end,1), create_account(start,1), acquire(1, main_process), hardware_issue_detected(1)",True
48,process_54.bpmn,conformance,conformance_large_false,"offer_ordering_choices(end,1), offer_ordering_choices(start,1), select_type_of_hardware_issue(end,1), select_type_of_hardware_issue(start,1), select_device_model(end,1), select_device_model(start,1), create_account(end,1), create_account(start,1), log_into_account(end,1,yes), log_into_account(start,1), acquire(1, main_process), hardware_issue_detected(1)",False
49,process_47.bpmn,legality,legality_small_true,"contract_project(1), select_required_part(start,1), select_required_part(end,1), query_webshops_for_part(start,1), query_webshops_for_part(end,1)",True
50,process_47.bpmn,legality,legality_small_false,"contract_project(1), query_webshops_for_part(start,1), query_webshops_for_part(end,1), select_required_part(start,1), select_required_part(end,1)",False
51,process_47.bpmn,legality,legality_large_true,"contract_project(1), select_required_part(start,1), select_required_part(end,1), query_webshops_for_part(start,1), query_webshops_for_part(end,1), find_out_delivery_details(start,1), find_out_delivery_details(end,1), save_details_in_list(start,1), save_details_in_list(end,1), compare_prices(start,1), compare_prices(end,1)",True
52,process_47.bpmn,legality,legality_large_false,"contract_project(1), query_webshops_for_part(start,1), query_webshops_for_part(end,1), select_required_part(start,1), select_required_part(end,1), find_out_delivery_details(start,1), find_out_delivery_details(end,1), save_details_in_list(start,1), save_details_in_list(end,1), compare_prices(start,1), compare_prices(end,1)",False
53,process_47.bpmn,conformance,conformance_small_true,"query_webshops_for_part(end,1), query_webshops_for_part(start,1), select_required_part(end,1), select_required_part(start,1), acquire(1, main_process), contract_project(1)",True
54,process_47.bpmn,conformance,conformance_small_false,"select_required_part(end,1), select_required_part(start,1), query_webshops_for_part(end,1), query_webshops_for_part(start,1), acquire(1, main_process), contract_project(1)",False
55,process_47.bpmn,conformance,conformance_large_true,"compare_prices(end,1), compare_prices(start,1), save_details_in_list(end,1), save_details_in_list(start,1), find_out_delivery_details(end,1), find_out_delivery_details(start,1), query_webshops_for_part(end,1), query_webshops_for_part(start,1), select_required_part(end,1), select_required_part(start,1), acquire(1, main_process), contract_project(1)",True
56,process_47.bpmn,conformance,conformance_large_false,"compare_prices(end,1), compare_prices(start,1), save_details_in_list(end,1), save_details_in_list(start,1), find_out_delivery_details(end,1), find_out_delivery_details(start,1), select_required_part(end,1), select_required_part(start,1), query_webshops_for_part(end,1), query_webshops_for_part(start,1), acquire(1, main_process), contract_project(1)",False
57,process_42.bpmn,legality,legality_small_true,"start_(1), determine_properties_(start,1), determine_properties_(end,1), order_parts_(start,1), order_parts_(end,1)",True
58,process_42.bpmn,legality,legality_small_false,"start_(1), order_parts_(start,1), order_parts_(end,1), determine_properties_(start,1), determine_properties_(end,1)",False
59,process_42.bpmn,legality,legality_large_true,"start_(1), determine_properties_(start,1), determine_properties_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), check_delivery_of_ordered_parts_(start,1), check_delivery_of_ordered_parts_(end,1,Parts arrived)",True
60,process_42.bpmn,legality,legality_large_false,"start_(1), order_parts_(start,1), order_parts_(end,1), determine_properties_(start,1), determine_properties_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), check_delivery_of_ordered_parts_(start,1), check_delivery_of_ordered_parts_(end,1,Parts arrived)",False
61,process_42.bpmn,conformance,conformance_small_true,"order_parts_(end,1), order_parts_(start,1), determine_properties_(end,1), determine_properties_(start,1), acquire(1, main_process), start_(1)",True
62,process_42.bpmn,conformance,conformance_small_false,"determine_properties_(end,1), determine_properties_(start,1), order_parts_(end,1), order_parts_(start,1), acquire(1, main_process), start_(1)",False
63,process_42.bpmn,conformance,conformance_large_true,"check_delivery_of_ordered_parts_(end,1,Parts arrived), check_delivery_of_ordered_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), determine_properties_(end,1), determine_properties_(start,1), acquire(1, main_process), start_(1)",True
64,process_42.bpmn,conformance,conformance_large_false,"check_delivery_of_ordered_parts_(end,1,Parts arrived), check_delivery_of_ordered_parts_(start,1), order_parts_(end,1), order_parts_(start,1), order_parts_(end,1), order_parts_(start,1), determine_properties_(end,1), determine_properties_(start,1), order_parts_(end,1), order_parts_(start,1), acquire(1, main_process), start_(1)",False
65,process_27.bpmn,legality,legality_small_true,"send_invitation(1), receive_list_of_games(start,1), receive_list_of_games(end,1), prepare_games(start,1), prepare_games(end,1)",True
66,process_27.bpmn,legality,legality_small_false,"send_invitation(1), prepare_games(start,1), prepare_games(end,1)",False
67,process_27.bpmn,legality,legality_large_true,"send_invitation(1), receive_list_of_games(start,1), receive_list_of_games(end,1,no), select_games(start,1), select_games(end,1), download_is_started_automatically(start,1), download_is_started_automatically(end,1), prepare_games(start,1), prepare_games(end,1)",True
68,process_27.bpmn,legality,legality_large_false,"send_invitation(1), select_games(start,1), select_games(end,1), receive_list_of_games(start,1), receive_list_of_games(end,1,no), download_is_started_automatically(start,1), download_is_started_automatically(end,1), prepare_games(start,1), prepare_games(end,1), suggest_appointment(1), verify_available_friends(start,1), verify_available_friends(end,1,yes)",False
69,process_27.bpmn,conformance,conformance_small_true,"prepare_games(end,1), prepare_games(start,1), receive_list_of_games(end,1), receive_list_of_games(start,1), acquire(1, main_process), send_invitation(1)",True
70,process_27.bpmn,conformance,conformance_small_false,"prepare_games(end,1), prepare_games(start,1), acquire(1, main_process), send_invitation(1)",False
71,process_27.bpmn,conformance,conformance_large_true,"prepare_games(end,1), prepare_games(start,1), download_is_started_automatically(end,1), download_is_started_automatically(start,1), select_games(end,1), select_games(start,1), receive_list_of_games(end,1,no), receive_list_of_games(start,1), acquire(1, main_process), send_invitation(1)",True
72,process_27.bpmn,conformance,conformance_large_false,"verify_available_friends(end,1,yes), verify_available_friends(start,1), suggest_appointment(1), prepare_games(end,1), prepare_games(start,1), download_is_started_automatically(end,1), download_is_started_automatically(start,1), receive_list_of_games(end,1,no), receive_list_of_games(start,1), select_games(end,1), select_games(start,1), acquire(1, main_process), send_invitation(1)",False
73,process_3.bpmn,legality,legality_small_true,"job_seeker_registered(1), report_application_status(start,1), report_application_status(end,1)",True
74,process_3.bpmn,legality,legality_small_false,"job_seeker_registered(1), receive_job_offers(start,1), receive_job_offers(end,1)",False
75,process_3.bpmn,legality,legality_large_true,"job_seeker_registered(1), report_application_status(start,1), report_application_status(end,1), receive_job_offers(start,1), receive_job_offers(end,1), go_through_job_offers(start,1), go_through_job_offers(end,1), apply(start,1), apply(end,1)",True
76,process_3.bpmn,legality,legality_large_false,"job_seeker_registered(1), receive_job_offers(start,1), receive_job_offers(end,1), report_application_status(start,1), report_application_status(end,1), go_through_job_offers(start,1), go_through_job_offers(end,1), apply(start,1), apply(end,1)",False
77,process_3.bpmn,conformance,conformance_small_true,"report_application_status(end,1), report_application_status(start,1), acquire(1, main_process), job_seeker_registered(1)",True
78,process_3.bpmn,conformance,conformance_small_false,"receive_job_offers(end,1), receive_job_offers(start,1), acquire(1, main_process), job_seeker_registered(1)",False
79,process_3.bpmn,conformance,conformance_large_true,"receive_confirmation(end,1), receive_confirmation(start,1), apply(end,1), apply(start,1), go_through_job_offers(end,1), go_through_job_offers(start,1), receive_job_offers(end,1), receive_job_offers(start,1), report_application_status(end,1), report_application_status(start,1), acquire(1, main_process), job_seeker_registered(1)",True
80,process_3.bpmn,conformance,conformance_large_false,"apply(end,1), apply(start,1), go_through_job_offers(end,1), go_through_job_offers(start,1), report_application_status(end,1), report_application_status(start,1), receive_job_offers(end,1), receive_job_offers(start,1), acquire(1, main_process), job_seeker_registered(1)",False
81,process_32.bpmn,legality,legality_small_true,"farming_bot_creation_desire(1), find_out_wanted_resources(start,1), find_out_wanted_resources(end,1), check_repo_for_already_available_resources(start,1), check_repo_for_already_available_resources(end,1)",True
82,process_32.bpmn,legality,legality_small_false,"farming_bot_creation_desire(1), check_repo_for_already_available_resources(start,1), check_repo_for_already_available_resources(end,1), find_out_wanted_resources(start,1), find_out_wanted_resources(end,1)",False
83,process_32.bpmn,legality,legality_large_true,"farming_bot_creation_desire(1), find_out_wanted_resources(start,1), find_out_wanted_resources(end,1), check_repo_for_already_available_resources(start,1), check_repo_for_already_available_resources(end,1), collect_urgently_needed_resources(start,1), collect_urgently_needed_resources(end,1), build_tools(start,1), build_tools(end,1)",True
84,process_32.bpmn,legality,legality_large_false,"farming_bot_creation_desire(1), check_repo_for_already_available_resources(start,1), check_repo_for_already_available_resources(end,1), find_out_wanted_resources(start,1), find_out_wanted_resources(end,1), collect_urgently_needed_resources(start,1), collect_urgently_needed_resources(end,1), collect_the_remained_resources(start,1), collect_the_remained_resources(end,1), wait_for_random_natural_event_for_some_time(start,1), wait_for_random_natural_event_for_some_time(end,1)",False
85,process_32.bpmn,conformance,conformance_small_true,"find_out_wanted_resources(end,1), find_out_wanted_resources(start,1), acquire(1, main_process), farming_bot_creation_desire(1)",True
86,process_32.bpmn,conformance,conformance_small_false,"find_out_wanted_resources(end,1), find_out_wanted_resources(start,1), check_repo_for_already_available_resources(end,1), check_repo_for_already_available_resources(start,1), acquire(1, main_process), farming_bot_creation_desire(1)",False
87,process_32.bpmn,conformance,conformance_large_true,"collect_the_remained_resources(end,1), collect_the_remained_resources(start,1), build_tools(end,1), build_tools(start,1), collect_urgently_needed_resources(end,1), collect_urgently_needed_resources(start,1), check_repo_for_already_available_resources(end,1), check_repo_for_already_available_resources(start,1), find_out_wanted_resources(end,1), find_out_wanted_resources(start,1), acquire(1, main_process), farming_bot_creation_desire(1)",True
88,process_32.bpmn,conformance,conformance_large_false,"collect_the_remained_resources(end,1), collect_the_remained_resources(start,1), build_tools(end,1), build_tools(start,1), collect_urgently_needed_resources(end,1), collect_urgently_needed_resources(start,1), find_out_wanted_resources(end,1), find_out_wanted_resources(start,1), check_repo_for_already_available_resources(end,1), check_repo_for_already_available_resources(start,1), acquire(1, main_process), farming_bot_creation_desire(1)",False
89,process_46.bpmn,legality,legality_small_true,"get_airplane_request_(1), check_desired_airplane_type(start,1), check_desired_airplane_type(end,1), send_customizing_options(start,1), send_customizing_options(end,1), receive_customizing_requirements_(start,1), receive_customizing_requirements_(end,1)",True
90,process_46.bpmn,legality,legality_small_false,"get_airplane_request_(1), assemble_interior(start,1), assemble_interior(end,1)",False
91,process_46.bpmn,legality,legality_large_true,"get_airplane_request_(1), check_desired_airplane_type(start,1), check_desired_airplane_type(end,1), send_customizing_options(start,1), send_customizing_options(end,1), receive_customizing_requirements_(start,1), receive_customizing_requirements_(end,1), display_bar_type_(start,1), display_bar_type_(end,1), select_seat_color(start,1), select_seat_color(end,1), introduce_amount_of_water_in_the_toilets(start,1), introduce_amount_of_water_in_the_toilets(end,1), send_requirements_to_the_american_team_(start,1), send_requirements_to_the_american_team_(end,1)",True
92,process_46.bpmn,legality,legality_large_false,"get_airplane_request_(1), send_customizing_options(start,1), send_customizing_options(end,1), check_desired_airplane_type(start,1), check_desired_airplane_type(end,1), receive_customizing_requirements_(start,1), receive_customizing_requirements_(end,1), display_bar_type_(start,1), display_bar_type_(end,1), select_seat_color(start,1), select_seat_color(end,1), introduce_amount_of_water_in_the_toilets(start,1), introduce_amount_of_water_in_the_toilets(end,1), send_requirements_to_the_russian_team(start,1), send_requirements_to_the_russian_team(end,1)",False
93,process_46.bpmn,conformance,conformance_small_true,"receive_customizing_requirements_(end,1), receive_customizing_requirements_(start,1), send_customizing_options(end,1), send_customizing_options(start,1), check_desired_airplane_type(end,1), check_desired_airplane_type(start,1), acquire(1, main_process), get_airplane_request_(1)",True
94,process_46.bpmn,conformance,conformance_small_false,"receive_customizing_requirements_(end,1), receive_customizing_requirements_(start,1), check_desired_airplane_type(end,1), check_desired_airplane_type(start,1), send_customizing_options(end,1), send_customizing_options(start,1), acquire(1, main_process), get_airplane_request_(1)",False
95,process_46.bpmn,conformance,conformance_large_true,"send_requirements_to_the_irish_team(end,1), send_requirements_to_the_irish_team(start,1), introduce_amount_of_water_in_the_toilets(end,1), introduce_amount_of_water_in_the_toilets(start,1), select_seat_color(end,1), select_seat_color(start,1), display_bar_type_(end,1), display_bar_type_(start,1), receive_customizing_requirements_(end,1), receive_customizing_requirements_(start,1), send_customizing_options(end,1), send_customizing_options(start,1), check_desired_airplane_type(end,1), check_desired_airplane_type(start,1), acquire(1, main_process), get_airplane_request_(1)",True
96,process_46.bpmn,conformance,conformance_large_false,"update_flight_protocol(end,1), update_flight_protocol(start,1), check_desired_airplane_type(end,1), check_desired_airplane_type(start,1), assemble_interior(end,1), assemble_interior(start,1), acquire(1, main_process), get_airplane_request_(1)",False
97,process_13.bpmn,legality,legality_small_true,"planning_maternity_leave(1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), timespan_statutory_maternity_leave(1)",True
98,process_13.bpmn,legality,legality_small_false,planning_maternity_leave(1),False
99,process_13.bpmn,legality,legality_large_true,"planning_maternity_leave(1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), timespan_statutory_maternity_leave(1), report_chosen_length_of_maternity_leave_to_company_(start,1), report_chosen_length_of_maternity_leave_to_company_(end,1), report_chosen_length_of_maternity_leave_to_social_security_(start,1), report_chosen_length_of_maternity_leave_to_social_security_(end,1), calculate_if_chosen_length_fits(start,1), calculate_if_chosen_length_fits(end,1)",True
100,process_13.bpmn,legality,legality_large_false,"planning_maternity_leave(1), timespan_statutory_maternity_leave(1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), report_chosen_length_of_maternity_leave_to_company_(start,1), report_chosen_length_of_maternity_leave_to_company_(end,1), report_chosen_length_of_maternity_leave_to_social_security_(start,1), report_chosen_length_of_maternity_leave_to_social_security_(end,1), calculate_if_chosen_length_fits(start,1), calculate_if_chosen_length_fits(end,1)",False
101,process_13.bpmn,conformance,conformance_small_true,"timespan_statutory_maternity_leave(1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), acquire(1, main_process), planning_maternity_leave(1)",True
102,process_13.bpmn,conformance,conformance_small_false,"choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), timespan_statutory_maternity_leave(1), acquire(1, main_process), planning_maternity_leave(1)",False
103,process_13.bpmn,conformance,conformance_large_true,"calculate_if_chosen_length_fits(end,1), calculate_if_chosen_length_fits(start,1), report_chosen_length_of_maternity_leave_to_social_security_(end,1), report_chosen_length_of_maternity_leave_to_social_security_(start,1), report_chosen_length_of_maternity_leave_to_company_(end,1), report_chosen_length_of_maternity_leave_to_company_(start,1), timespan_statutory_maternity_leave(1), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(end,1,Mother), choose_length_of_maternity_leave_for_parent_taking_maternity_leave_first_and_living_in_same_household(start,1), acquire(1, main_process), planning_maternity_leave(1)",True
