task_type,sample_id,actions,expected_result,model_name,description
conformance,23,"receiving_an_order_(1);acquire(1, main_process);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1,Fries);prepare_fries_(start,1);prepare_fries_(end,1);select_drink(start,1);select_drink(end,1);select_size_of_the_drink(start,1);select_size_of_the_drink(end,1,Small)",True,process_90.bpmn,conformance_large_true
conformance,24,"receiving_an_order_(1);acquire(1, main_process);select_supplement(start,1);select_supplement(end,1,Wedges);display_options(start,1);display_options(end,1);prepare_wedges(start,1);prepare_wedges(end,1);select_drink(start,1);select_drink(end,1);select_size_of_the_drink(start,1);select_size_of_the_drink(end,1,Medium)",False,process_90.bpmn,conformance_large_false
legality,25,"wish_for_a_lan_gameparty(1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1)",True,process_34.bpmn,legality_small_true
legality,26,"wish_for_a_lan_gameparty(1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1)",False,process_34.bpmn,legality_small_false
legality,27,"wish_for_a_lan_gameparty(1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1);appoint_a_date(start,1);appoint_a_date(end,1);few_hours_until_all_people_reply_if_they_can_play_on_that_date(1);reserve_that_day(start,1);reserve_that_day(end,1);check_if_you_have_all_the_games(start,1);check_if_you_have_all_the_games(end,1,no)",True,process_34.bpmn,legality_large_true
legality,28,"wish_for_a_lan_gameparty(1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1);appoint_a_date(start,1);appoint_a_date(end,1);few_hours_until_all_people_reply_if_they_can_play_on_that_date(1)",False,process_34.bpmn,legality_large_false
conformance,29,"wish_for_a_lan_gameparty(1);acquire(1, main_process);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1)",True,process_34.bpmn,conformance_small_true
conformance,30,"wish_for_a_lan_gameparty(1);acquire(1, main_process);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1)",False,process_34.bpmn,conformance_small_false
conformance,31,"wish_for_a_lan_gameparty(1);acquire(1, main_process);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1);appoint_a_date(start,1);appoint_a_date(end,1);few_hours_until_all_people_reply_if_they_can_play_on_that_date(1);reserve_that_day(start,1);reserve_that_day(end,1);check_if_you_have_all_the_games(start,1);check_if_you_have_all_the_games(end,1,no)",True,process_34.bpmn,conformance_large_true
conformance,32,"wish_for_a_lan_gameparty(1);acquire(1, main_process);ask_which_games_do_they_want_to_play(start,1);ask_which_games_do_they_want_to_play(end,1);send_invites_to_10_people(start,1);send_invites_to_10_people(end,1);few_hours_until_the_user_has_all_the_games_that_they_want_to_play(1);appoint_a_date(start,1);appoint_a_date(end,1);few_hours_until_all_people_reply_if_they_can_play_on_that_date(1)",False,process_34.bpmn,conformance_large_false
legality,33,"purchase_order_recieved(1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1)",True,process_55.bpmn,legality_small_true
legality,34,"purchase_order_recieved(1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1)",False,process_55.bpmn,legality_small_false
legality,35,"purchase_order_recieved(1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1);let_customer_decide_on_the_color_of_the_seats(start,1);let_customer_decide_on_the_color_of_the_seats(end,1);recieve_the_specification(start,1);recieve_the_specification(end,1);send_requirements_to_specialist_team(start,1);send_requirements_to_specialist_team(end,1);check_manufacturing_stock(start,1);check_manufacturing_stock(end,1,yes);manufacture_parts(start,1);manufacture_parts(end,1);test_produced_parts(start,1);test_produced_parts(end,1,yes)",True,process_55.bpmn,legality_large_true
legality,36,"purchase_order_recieved(1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1);let_customer_decide_on_the_color_of_the_seats(start,1);let_customer_decide_on_the_color_of_the_seats(end,1);recieve_the_specification(start,1);recieve_the_specification(end,1);send_requirements_to_specialist_team(start,1);send_requirements_to_specialist_team(end,1);check_manufacturing_stock(start,1);check_manufacturing_stock(end,1,yes);manufacture_parts(start,1);manufacture_parts(end,1);test_produced_parts(start,1);test_produced_parts(end,1,yes)",False,process_55.bpmn,legality_large_false
conformance,37,"purchase_order_recieved(1);acquire(1, main_process);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1)",True,process_55.bpmn,conformance_small_true
conformance,38,"purchase_order_recieved(1);acquire(1, main_process);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1)",False,process_55.bpmn,conformance_small_false
conformance,39,"purchase_order_recieved(1);acquire(1, main_process);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1);let_customer_decide_on_the_color_of_the_seats(start,1);let_customer_decide_on_the_color_of_the_seats(end,1);recieve_the_specification(start,1);recieve_the_specification(end,1);send_requirements_to_specialist_team(start,1);send_requirements_to_specialist_team(end,1);check_manufacturing_stock(start,1);check_manufacturing_stock(end,1,yes);manufacture_parts(start,1);manufacture_parts(end,1);test_produced_parts(start,1);test_produced_parts(end,1,yes)",True,process_55.bpmn,conformance_large_true
conformance,40,"purchase_order_recieved(1);acquire(1, main_process);let_customer_decide_on_the_amount_of_water_in_the_toilet(start,1);let_customer_decide_on_the_amount_of_water_in_the_toilet(end,1);send_list_with_possible_specification_to_the_customer(start,1);send_list_with_possible_specification_to_the_customer(end,1);let_customer_decide_on_the_number_of_seats(start,1);let_customer_decide_on_the_number_of_seats(end,1);let_customer_decide_on_number_of_bars(start,1);let_customer_decide_on_number_of_bars(end,1);let_customer_decide_on_the_color_of_the_seats(start,1);let_customer_decide_on_the_color_of_the_seats(end,1);recieve_the_specification(start,1);recieve_the_specification(end,1);send_requirements_to_specialist_team(start,1);send_requirements_to_specialist_team(end,1);check_manufacturing_stock(start,1);check_manufacturing_stock(end,1,yes);manufacture_parts(start,1);manufacture_parts(end,1);test_produced_parts(start,1);test_produced_parts(end,1,yes)",False,process_55.bpmn,conformance_large_false
legality,41,"desire_to_reg_usi_course(1);select_course(start,1);select_course(end,1,yes);show_dates(start,1);show_dates(end,1)",True,process_96.bpmn,legality_small_true
legality,42,"desire_to_reg_usi_course(1);show_dates(start,1);show_dates(end,1)",False,process_96.bpmn,legality_small_false
legality,43,"desire_to_reg_usi_course(1);select_course(start,1);select_course(end,1,yes);show_dates(start,1);show_dates(end,1);select_one_date(start,1);select_one_date(end,1);check_if_account_at_sports_institute_available(start,1);check_if_account_at_sports_institute_available(end,1,no);check_if_registered_at_an_eligible_university(start,1);check_if_registered_at_an_eligible_university(end,1,no)",True,process_96.bpmn,legality_large_true
legality,44,"desire_to_reg_usi_course(1);show_dates(start,1);show_dates(end,1);select_course(start,1);select_course(end,1,yes);select_one_date(start,1);select_one_date(end,1);check_if_account_at_sports_institute_available(start,1);check_if_account_at_sports_institute_available(end,1,no);check_if_registered_at_an_eligible_university(start,1);check_if_registered_at_an_eligible_university(end,1,yes)",False,process_96.bpmn,legality_large_false
conformance,45,"desire_to_reg_usi_course(1);acquire(1, main_process);select_course(start,1);select_course(end,1,yes)",True,process_96.bpmn,conformance_small_true
conformance,46,"desire_to_reg_usi_course(1);acquire(1, main_process);show_dates(start,1);show_dates(end,1);select_course(start,1);select_course(end,1,yes)",False,process_96.bpmn,conformance_small_false
conformance,47,"desire_to_reg_usi_course(1);acquire(1, main_process);select_course(start,1);select_course(end,1,yes);show_dates(start,1);show_dates(end,1);select_one_date(start,1);select_one_date(end,1);check_if_account_at_sports_institute_available(start,1);check_if_account_at_sports_institute_available(end,1,no);check_if_registered_at_an_eligible_university(start,1);check_if_registered_at_an_eligible_university(end,1,yes)",True,process_96.bpmn,conformance_large_true
conformance,48,"desire_to_reg_usi_course(1);acquire(1, main_process);show_dates(start,1);show_dates(end,1);select_course(start,1);select_course(end,1,yes);select_one_date(start,1);select_one_date(end,1);check_if_account_at_sports_institute_available(start,1);check_if_account_at_sports_institute_available(end,1,yes)",False,process_96.bpmn,conformance_large_false
legality,49,"hardware_issue_detected(1);create_account(start,1);create_account(end,1)",True,process_64.bpmn,legality_small_true
legality,50,"hardware_issue_detected(1);log_into_account(start,1);log_into_account(end,1,yes);create_account(start,1);create_account(end,1)",False,process_64.bpmn,legality_small_false
legality,51,"hardware_issue_detected(1);create_account(start,1);create_account(end,1);log_into_account(start,1);log_into_account(end,1,yes);select_device_model(start,1);select_device_model(end,1);select_type_of_hardware_issue(start,1);select_type_of_hardware_issue(end,1);offer_ordering_choices(start,1);offer_ordering_choices(end,1)",True,process_64.bpmn,legality_large_true
legality,52,"hardware_issue_detected(1);log_into_account(start,1);log_into_account(end,1,yes);create_account(start,1);create_account(end,1);select_device_model(start,1);select_device_model(end,1);select_type_of_hardware_issue(start,1);select_type_of_hardware_issue(end,1);offer_ordering_choices(start,1);offer_ordering_choices(end,1)",False,process_64.bpmn,legality_large_false
conformance,53,"hardware_issue_detected(1);acquire(1, main_process);create_account(start,1);create_account(end,1);log_into_account(start,1);log_into_account(end,1,yes)",True,process_64.bpmn,conformance_small_true
conformance,54,"hardware_issue_detected(1);acquire(1, main_process);log_into_account(start,1);log_into_account(end,1,yes);create_account(start,1);create_account(end,1)",False,process_64.bpmn,conformance_small_false
conformance,55,"hardware_issue_detected(1);acquire(1, main_process);create_account(start,1);create_account(end,1);log_into_account(start,1);log_into_account(end,1,yes);select_device_model(start,1);select_device_model(end,1);select_type_of_hardware_issue(start,1);select_type_of_hardware_issue(end,1);offer_ordering_choices(start,1);offer_ordering_choices(end,1)",True,process_64.bpmn,conformance_large_true
conformance,56,"hardware_issue_detected(1);acquire(1, main_process);log_into_account(start,1);log_into_account(end,1,yes);create_account(start,1);create_account(end,1);select_device_model(start,1);select_device_model(end,1);select_type_of_hardware_issue(start,1);select_type_of_hardware_issue(end,1);offer_ordering_choices(start,1);offer_ordering_choices(end,1);list_required_materials(start,1);list_required_materials(end,1)",False,process_64.bpmn,conformance_large_false
legality,57,"contract_project(1);select_required_part(start,1);select_required_part(end,1);query_webshops_for_part(start,1);query_webshops_for_part(end,1)",True,process_57.bpmn,legality_small_true
legality,58,"contract_project(1);query_webshops_for_part(start,1);query_webshops_for_part(end,1);select_required_part(start,1);select_required_part(end,1)",False,process_57.bpmn,legality_small_false
legality,59,"contract_project(1);select_required_part(start,1);select_required_part(end,1);query_webshops_for_part(start,1);query_webshops_for_part(end,1);find_out_delivery_details(start,1);find_out_delivery_details(end,1);save_details_in_list(start,1);save_details_in_list(end,1);compare_prices(start,1);compare_prices(end,1)",True,process_57.bpmn,legality_large_true
legality,60,"contract_project(1);query_webshops_for_part(start,1);query_webshops_for_part(end,1);select_required_part(start,1);select_required_part(end,1);find_out_delivery_details(start,1);find_out_delivery_details(end,1);save_details_in_list(start,1);save_details_in_list(end,1);compare_prices(start,1);compare_prices(end,1)",False,process_57.bpmn,legality_large_false
conformance,61,"contract_project(1);acquire(1, main_process);select_required_part(start,1);select_required_part(end,1);query_webshops_for_part(start,1);query_webshops_for_part(end,1)",True,process_57.bpmn,conformance_small_true
conformance,62,"contract_project(1);acquire(1, main_process);query_webshops_for_part(start,1);query_webshops_for_part(end,1);select_required_part(start,1);select_required_part(end,1)",False,process_57.bpmn,conformance_small_false
conformance,63,"contract_project(1);acquire(1, main_process);select_required_part(start,1);select_required_part(end,1);query_webshops_for_part(start,1);query_webshops_for_part(end,1);find_out_delivery_details(start,1);find_out_delivery_details(end,1);save_details_in_list(start,1);save_details_in_list(end,1);compare_prices(start,1);compare_prices(end,1)",True,process_57.bpmn,conformance_large_true
conformance,64,"contract_project(1);acquire(1, main_process);query_webshops_for_part(start,1);query_webshops_for_part(end,1);select_required_part(start,1);select_required_part(end,1);find_out_delivery_details(start,1);find_out_delivery_details(end,1);save_details_in_list(start,1);save_details_in_list(end,1);compare_prices(start,1);compare_prices(end,1)",False,process_57.bpmn,conformance_large_false
legality,65,"start_(1);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1)",True,process_51.bpmn,legality_small_true
legality,66,"start_(1);order_parts_(start,1);order_parts_(end,1);determine_properties_(start,1);determine_properties_(end,1)",False,process_51.bpmn,legality_small_false
legality,67,"start_(1);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);check_delivery_of_ordered_parts_(start,1);check_delivery_of_ordered_parts_(end,1,Parts arrived)",True,process_51.bpmn,legality_large_true
legality,68,"start_(1);order_parts_(start,1);order_parts_(end,1);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);check_delivery_of_ordered_parts_(start,1);check_delivery_of_ordered_parts_(end,1,Parts arrived)",False,process_51.bpmn,legality_large_false
conformance,69,"start_(1);acquire(1, main_process);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1)",True,process_51.bpmn,conformance_small_true
conformance,70,"start_(1);acquire(1, main_process);order_parts_(start,1);order_parts_(end,1);determine_properties_(start,1);determine_properties_(end,1)",False,process_51.bpmn,conformance_small_false
conformance,71,"start_(1);acquire(1, main_process);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);check_delivery_of_ordered_parts_(start,1);check_delivery_of_ordered_parts_(end,1,Parts arrived)",True,process_51.bpmn,conformance_large_true
conformance,72,"start_(1);acquire(1, main_process);order_parts_(start,1);order_parts_(end,1);determine_properties_(start,1);determine_properties_(end,1);order_parts_(start,1);order_parts_(end,1);order_parts_(start,1);order_parts_(end,1);check_delivery_of_ordered_parts_(start,1);check_delivery_of_ordered_parts_(end,1,Parts arrived)",False,process_51.bpmn,conformance_large_false
legality,73,send_invitation(1);suggest_appointment(1),True,process_32.bpmn,legality_small_true
legality,74,"send_invitation(1);receive_list_of_games(start,1);receive_list_of_games(end,1,no)",False,process_32.bpmn,legality_small_false
legality,75,"send_invitation(1);suggest_appointment(1);receive_list_of_games(start,1);receive_list_of_games(end,1);prepare_games(start,1);prepare_games(end,1);verify_available_friends(start,1);verify_available_friends(end,1,yes);appointment_is_set_automatically(start,1);appointment_is_set_automatically(end,1)",True,process_32.bpmn,legality_large_true
legality,76,"send_invitation(1);receive_list_of_games(start,1);receive_list_of_games(end,1,no);suggest_appointment(1);select_games(start,1);select_games(end,1);download_is_started_automatically(start,1);download_is_started_automatically(end,1);prepare_games(start,1);prepare_games(end,1);verify_available_friends(start,1);verify_available_friends(end,1,yes)",False,process_32.bpmn,legality_large_false
conformance,77,"send_invitation(1);acquire(1, main_process);suggest_appointment(1)",True,process_32.bpmn,conformance_small_true
conformance,78,"send_invitation(1);acquire(1, main_process);receive_list_of_games(start,1);receive_list_of_games(end,1,no)",False,process_32.bpmn,conformance_small_false
conformance,79,"send_invitation(1);acquire(1, main_process);suggest_appointment(1);receive_list_of_games(start,1);receive_list_of_games(end,1);prepare_games(start,1);prepare_games(end,1);verify_available_friends(start,1);verify_available_friends(end,1,yes);appointment_is_set_automatically(start,1);appointment_is_set_automatically(end,1)",True,process_32.bpmn,conformance_large_true
conformance,80,"send_invitation(1);acquire(1, main_process);receive_list_of_games(start,1);receive_list_of_games(end,1,no);suggest_appointment(1);select_games(start,1);select_games(end,1);download_is_started_automatically(start,1);download_is_started_automatically(end,1);prepare_games(start,1);prepare_games(end,1);verify_available_friends(start,1);verify_available_friends(end,1,yes)",False,process_32.bpmn,conformance_large_false
legality,81,"job_seeker_registered(1);report_application_status(start,1);report_application_status(end,1)",True,process_3.bpmn,legality_small_true
legality,82,"job_seeker_registered(1);receive_job_offers(start,1);receive_job_offers(end,1)",False,process_3.bpmn,legality_small_false
legality,83,"job_seeker_registered(1);report_application_status(start,1);report_application_status(end,1);receive_job_offers(start,1);receive_job_offers(end,1);go_through_job_offers(start,1);go_through_job_offers(end,1);apply(start,1);apply(end,1)",True,process_3.bpmn,legality_large_true
legality,84,"job_seeker_registered(1);receive_job_offers(start,1);receive_job_offers(end,1);report_application_status(start,1);report_application_status(end,1);go_through_job_offers(start,1);go_through_job_offers(end,1)",False,process_3.bpmn,legality_large_false
conformance,85,"job_seeker_registered(1);acquire(1, main_process);report_application_status(start,1);report_application_status(end,1)",True,process_3.bpmn,conformance_small_true
conformance,86,"job_seeker_registered(1);acquire(1, main_process);receive_job_offers(start,1);receive_job_offers(end,1);report_application_status(start,1);report_application_status(end,1)",False,process_3.bpmn,conformance_small_false
conformance,87,"job_seeker_registered(1);acquire(1, main_process);report_application_status(start,1);report_application_status(end,1);receive_job_offers(start,1);receive_job_offers(end,1);go_through_job_offers(start,1);go_through_job_offers(end,1);apply(start,1);apply(end,1)",True,process_3.bpmn,conformance_large_true
conformance,88,"job_seeker_registered(1);acquire(1, main_process);receive_job_offers(start,1);receive_job_offers(end,1);report_application_status(start,1);report_application_status(end,1);go_through_job_offers(start,1);go_through_job_offers(end,1);apply(start,1);apply(end,1)",False,process_3.bpmn,conformance_large_false
legality,89,"farming_bot_creation_desire(1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1)",True,process_40.bpmn,legality_small_true
legality,90,"farming_bot_creation_desire(1);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1)",False,process_40.bpmn,legality_small_false
legality,91,"farming_bot_creation_desire(1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);collect_urgently_needed_resources(start,1);collect_urgently_needed_resources(end,1);build_tools(start,1);build_tools(end,1);collect_the_remained_resources(start,1);collect_the_remained_resources(end,1);wait_for_random_natural_event_for_some_time(start,1);wait_for_random_natural_event_for_some_time(end,1,yes)",True,process_40.bpmn,legality_large_true
legality,92,"farming_bot_creation_desire(1);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1);collect_urgently_needed_resources(start,1);collect_urgently_needed_resources(end,1);build_tools(start,1);build_tools(end,1);collect_the_remained_resources(start,1);collect_the_remained_resources(end,1)",False,process_40.bpmn,legality_large_false
conformance,93,"farming_bot_creation_desire(1);acquire(1, main_process);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1)",True,process_40.bpmn,conformance_small_true
conformance,94,"farming_bot_creation_desire(1);acquire(1, main_process);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1)",False,process_40.bpmn,conformance_small_false
conformance,95,"farming_bot_creation_desire(1);acquire(1, main_process);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);collect_urgently_needed_resources(start,1);collect_urgently_needed_resources(end,1);build_tools(start,1);build_tools(end,1);collect_the_remained_resources(start,1);collect_the_remained_resources(end,1)",True,process_40.bpmn,conformance_large_true
conformance,96,"farming_bot_creation_desire(1);acquire(1, main_process);check_repo_for_already_available_resources(start,1);check_repo_for_already_available_resources(end,1);find_out_wanted_resources(start,1);find_out_wanted_resources(end,1);collect_urgently_needed_resources(start,1);collect_urgently_needed_resources(end,1);build_tools(start,1);build_tools(end,1);collect_the_remained_resources(start,1);collect_the_remained_resources(end,1)",False,process_40.bpmn,conformance_large_false
legality,97,"get_airplane_request_(1);check_desired_airplane_type(start,1);check_desired_airplane_type(end,1);send_customizing_options(start,1);send_customizing_options(end,1);receive_customizing_requirements_(start,1);receive_customizing_requirements_(end,1)",True,process_56.bpmn,legality_small_true
